AssetID,Day of DateOccurred,ProblemTypeName
3D2FFCD3-42D0-E111-97B2-0025B500016E,"August 31, 2012",Device Fault
3D2FFCD3-42D0-E111-97B2-0025B500016E,"October 4, 2012",Output Quality
3D2FFCD3-42D0-E111-97B2-0025B500016E,"October 5, 2012",Device Fault
3D2FFCD3-42D0-E111-97B2-0025B500016E,"October 9, 2012",Device Fault
3D2FFCD3-42D0-E111-97B2-0025B500016E,"January 17, 2013",Paper Jam
3D2FFCD3-42D0-E111-97B2-0025B500016E,"March 4, 2013",Job Accounting
3D2FFCD3-42D0-E111-97B2-0025B500016E,"May 8, 2013",Damage
3D2FFCD3-42D0-E111-97B2-0025B500016E,"July 1, 2013",Device Offline
3D2FFCD3-42D0-E111-97B2-0025B500016E,"September 17, 2013",Output Quality
3D2FFCD3-42D0-E111-97B2-0025B500016E,"September 27, 2013",Paper Jam
3D2FFCD3-42D0-E111-97B2-0025B500016E,"March 28, 2014",Consumable Issue
3D2FFCD3-42D0-E111-97B2-0025B500016E,"April 9, 2014",Accessory Issue
